"Table 318.45. Number and percentage distribution of science, technology, engineering, and mathematics (STEM) degrees/certificates conferred by 
              postsecondary institutions, by race/ethnicity, level of degree/certificate, and sex of student: 2008-09 through 2016-17",,,,,,,,,,,,,,,,,,,
Sex and year,"Number of STEM degrees/certificates conferred to U.S. citizens, permanent residents, and nonresident aliens",,,,,,,,,,Percentage distribution of STEM degrees/certificates conferred to U.S. citizens and permanent residents ,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,"Total, all levels of degrees/certificates",,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,
2008-09 ............,472262,293784,39041,36092,47466,---,---,3503,---,52376,100,70,9,9,11,---,---,1,---
2009-10 ............,500783,309989,43023,41213,49294,---,---,3763,---,53501,100,69,10,9,11,---,---,1,---
2010-11 ............,531018,319327,47014,45794,51461,50250,1211,3601,5551,58270,100,68,10,10,11,11,0,1,1
2011-12 ............,556696,333652,47004,49262,53670,52336,1334,3600,7388,62120,100,67,10,10,11,11,0,1,1
2012-13 ............,574000,337241,47710,53015,56995,55577,1418,3576,9812,65651,100,66,9,10,11,11,0,1,2
,,,,,,,,,,,,,,,,,,,
2013-14 ............,604167,348586,49455,58104,59088,57664,1424,3472,13305,72157,100,66,9,11,11,11,0,1,3
2014-15 ............,635800,353950,50760,63689,62193,60800,1393,3401,15764,86043,100,64,9,12,11,11,0,1,3
2015-16 ............,668091,358113,48512,67822,66528,65252,1276,3159,18778,105179,100,64,9,12,12,12,0,1,3
2016-17 ............,704580,367087,49846,74438,71618,70312,1306,3240,20493,117858,100,63,8,13,12,12,0,1,3
,,,,,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,,,,,,,
2008-09 ............,329244,210822,24012,25813,29363,---,---,2375,---,36859,100,72,8,9,10,---,---,1,---
2009-10 ............,352115,224066,27623,29970,30489,---,---,2635,---,37332,100,71,9,10,10,---,---,1,---
2010-11 ............,370922,228704,30546,32877,31986,31193,793,2484,3640,40685,100,69,9,10,10,9,0,1,1
2011-12 ............,387705,239003,30152,34851,33240,32361,879,2427,4764,43268,100,69,9,10,10,9,0,1,1
2012-13 ............,397223,239688,30632,37032,35828,34838,990,2375,6442,45226,100,68,9,11,10,10,0,1,2
,,,,,,,,,,,,,,,,,,,
2013-14 ............,417547,247899,32012,40583,36874,35886,988,2331,8493,49355,100,67,9,11,10,10,0,1,2
2014-15 ............,436775,250211,32831,43847,38768,37817,951,2312,10011,58795,100,66,9,12,10,10,0,1,3
2015-16 ............,455559,251395,30381,45946,41337,40474,863,2138,12034,72328,100,66,8,12,11,11,0,1,3
2016-17 ............,478601,256733,30896,50055,44486,43571,915,2180,12979,81272,100,65,8,13,11,11,0,1,3
,,,,,,,,,,,,,,,,,,,
Females,,,,,,,,,,,,,,,,,,,
2008-09 ............,143018,82962,15029,10279,18103,---,---,1128,---,15517,100,65,12,8,14,---,---,1,---
